巨漢,6903,251.0,Yahoo,"2026-02-09 08:39:46"
潤弘,2597,168.0,Yahoo,"2026-02-09 08:39:48"
根基,2546,85.1,Yahoo,"2026-02-09 08:39:50"
皇翔,2545,37.10,Yahoo,"2026-02-09 08:39:52"
雲品,2748,40.30,Yahoo,"2026-02-09 08:39:54"
悠遊卡,6035,54.40,CNYES,"2026-02-09 08:39:55"
鈺齊-KY,9802,93.3,Yahoo,"2026-02-09 08:39:56"
杏昌,1788,136.5,Yahoo,"2026-02-09 08:39:58"
佳醫,4104,76.1,Yahoo,"2026-02-09 08:40:00"
邦特,4107,120.0,Yahoo,"2026-02-09 08:40:02"
盛弘,8403,23.35,Yahoo,"2026-02-09 08:40:04"
美時,1795,334.0,Yahoo,"2026-02-09 08:40:06"
生達,1720,60.8,Yahoo,"2026-02-09 08:40:08"
永信,3705,55.1,Yahoo,"2026-02-09 08:40:10"
中化,3716,33.80,Yahoo,"2026-02-09 08:40:12"
旭富,4119,52.1,Yahoo,"2026-02-09 08:40:14"
生泰,1777,72.0,Yahoo,"2026-02-09 08:40:16"
太醫,4126,79.8,Yahoo,"2026-02-09 08:40:18"
承業醫,4164,33.05,Yahoo,"2026-02-09 08:40:20"
美吾華,1731,21.90,Yahoo,"2026-02-09 08:40:22"
健喬,4114,32.40,Yahoo,"2026-02-09 08:40:24"
溫士頓無價格,1103,13.85,Yahoo,"2026-02-09 08:40:26"
聯華,1229,44.90,Yahoo,"2026-02-09 08:40:27"
聯華食,1231,92.8,Yahoo,"2026-02-09 08:40:29"
卜蜂,1215,151.5,Yahoo,"2026-02-09 08:40:32"
大成,1210,50.7,Yahoo,"2026-02-09 08:40:34"
南僑,1702,37.60,Yahoo,"2026-02-09 08:40:36"
茂生,1240,59.9,Yahoo,"2026-02-09 08:40:38"
黑松,1234,37.00,Yahoo,"2026-02-09 08:40:40"
中華食,4205,78.3,Yahoo,"2026-02-09 08:40:42"
中華食無價格,4205,78.3,Yahoo,"2026-02-09 08:40:44"
中華食無價格,4205,78.3,Yahoo,"2026-02-09 08:40:46"
統一,1216,73.2,Yahoo,"2026-02-09 08:40:48"
興農,1712,46.10,Yahoo,"2026-02-09 08:40:50"
德記,5902,39.35,Yahoo,"2026-02-09 08:40:52"
三商餐飲無價格,1103,13.85,Yahoo,"2026-02-09 08:40:54"
佳格,1227,28.90,Yahoo,"2026-02-09 08:40:56"
大統益,1232,147.0,Yahoo,"2026-02-09 08:40:58"
皇家可口,7791,69.80,CNYES,"2026-02-09 08:40:59"
大東電,1623,215.50,CNYES,"2026-02-09 08:41:00"
鈞興-KY,4571,175.0,Yahoo,"2026-02-09 08:41:02"
青新-創,6951,77.9,Yahoo,"2026-02-09 08:41:04"
力泰,5520,88.0,Yahoo,"2026-02-09 08:41:06"
寶綠特-KY,6887,51.3,Yahoo,"2026-02-09 08:41:08"
台灣積層,8999,38.00,CNYES,"2026-02-09 08:41:08"
正瀚-創,6534,84.2,Yahoo,"2026-02-09 08:41:10"
致伸,4915,80.5,Yahoo,"2026-02-09 08:41:12"
南光,1752,36.40,Yahoo,"2026-02-09 08:41:14"
南寶,4766,312.0,Yahoo,"2026-02-09 08:41:16"
溫士頓,6817,81.0,Yahoo,"2026-02-09 08:41:18"
