名稱,代碼,股價,來源,時間
皇家可口,7791,69.80,CNYES,"2026-02-09 08:15:10"
中保科,9917,105.0,Yahoo,"2026-02-09 08:15:12"
大東電,1623,215.50,CNYES,"2026-02-09 08:15:13"
三商餐飲,7705,39.60,Yahoo,"2026-02-09 08:15:15"
台灣積層,8999,38.00,CNYES,"2026-02-09 08:15:16"
青新-創,6951,77.9,Yahoo,"2026-02-09 08:15:17"
悠遊卡,6035,54.40,CNYES,"2026-02-09 08:15:18"
南光,1752,36.40,Yahoo,"2026-02-09 08:15:20"
南寶,4766,312.0,Yahoo,"2026-02-09 08:15:22"
穩得,6761,143.5,Yahoo,"2026-02-09 08:15:24"
溫士頓,6817,81.0,Yahoo,"2026-02-09 08:15:26"
欣陸,3703,22.80,Yahoo,"2026-02-09 08:15:28"
大盤,^TWII,"32,404.62",Yahoo,"2026-02-09 08:15:29"
50,0050,73.95,Yahoo,"2026-02-09 08:15:31"
