股號,股票名稱,現價,持有,市值,預估股利,預估殖利率,應持有比例,每月應買股數,剩餘數,本月已買,應買金額
2548,華固,105.5,222 ,23421 ,5.50 ,5.21%,1.00%,3 ,0 ,3,338 
1720,生達,60.9,328 ,19975 ,3.00 ,4.93%,2.75%,15 ,0 ,15,928 
2330,台積電,1780,34 ,60520 ,23.00 ,1.29%,4.50%,1 ,0 ,1,1519 
4580,捷流閥業,80.8,78 ,6302 ,3.40 ,4.21%,0.75%,3 ,0 ,3,253 
6263,普萊德,121,49 ,5929 ,7.00 ,5.79%,0.75%,2 ,0 ,2,253 
3010,華立,115,361 ,41515 ,4.70 ,4.09%,1.75%,5 ,0 ,5,591 
9942,茂順,111.5,50 ,5575 ,5.80 ,5.20%,0.75%,2 ,0 ,2,253 
4126,太醫,80,86 ,6880 ,4.00 ,5.00%,0.75%,3 ,0 ,3,253 
5609,中菲行,78.1,310 ,24211 ,5.70 ,7.30%,1.50%,6 ,-1 ,7,506 
1216,統一,74.2,956 ,70935 ,3.00 ,4.04%,6.50%,30 ,-1 ,31,2194 
6592,和潤,60.2,143 ,8609 ,2.60 ,4.32%,1.25%,7 ,0 ,7,422 
2546,根基,85.2,51 ,4345 ,4.00 ,4.69%,0.50%,2 ,0 ,2,169 
6803,崑鼎,300.5,379 ,113890 ,15.90 ,5.29%,7.50%,8 ,-1 ,9,2532 
9911,櫻花,84.6,131 ,11083 ,4.70 ,5.56%,2.50%,10 ,0 ,10,844 
9930,中聯資,69.3,71 ,4920 ,4.10 ,5.92%,2.00%,10 ,8 ,2,675 
2636,台驊,65.2,111 ,7237 ,4.80 ,7.36%,1.00%,5 ,0 ,5,338 
3023,信邦,239,31 ,7409 ,8.50 ,3.56%,1.25%,2 ,0 ,2,422 
4104,佳醫,76.4,282 ,21545 ,3.80 ,4.97%,2.00%,9 ,0 ,9,675 
4506,崇友,112,194 ,21728 ,4.80 ,4.29%,2.00%,6 ,0 ,6,675 
2453,凌群,52.9,77 ,4073 ,2.60 ,4.91%,0.50%,3 ,0 ,3,169 
3705,永信,55.7,115 ,6406 ,2.20 ,3.95%,1.00%,6 ,0 ,6,338 
1232,大統益,147.5,444 ,65490 ,6.80 ,4.61%,7.00%,16 ,-1 ,17,2363 
1231,聯華食,92.8,671 ,62269 ,1.50 ,1.62%,4.75%,17 ,0 ,17,1603 
3005,神基,112.5,555 ,62438 ,6.20 ,5.51%,3.00%,9 ,0 ,9,1013 
1229,聯華,44.95,1179 ,52996 ,1.30 ,2.89%,2.00%,15 ,15 ,0,675 
正格,,,,,,,59.25%,197 ,21 ,176 ,20000 
,,,,,,,,,,,
股號,股票名稱,現價,持有,市值,預估股利,預估殖利率,應持有比例,每月應買股數,剩餘數,本月已買,應買金額

