股號,股票名稱,現價,持有,市值,預估股利,預估殖利率,應持有比例,每月應買股數,剩餘數,本月已買,應買金額
2548,華固,99.3,237 ,23534 ,8.00 ,8.06%,1.00%,3 ,0 ,3,338 
1720,生達,63.8,402 ,25648 ,2.00 ,3.13%,2.75%,15 ,0 ,15,928 
2330,台積電,2,420,36 ,87120 ,23.00 ,0.95%,4.50%,1 ,1 ,0,1519 
4580,捷流閥業,81.6,93 ,7589 ,4.00 ,4.90%,0.75%,3 ,0 ,3,253 
6263,普萊德,159.0,58 ,9222 ,7.80 ,4.91%,0.75%,2 ,0 ,2,253 
3010,華立,115.5,380 ,43890 ,5.30 ,4.59%,1.75%,5 ,0 ,5,591 
9942,茂順,121.0,58 ,7018 ,7.00 ,5.79%,0.75%,2 ,0 ,2,253 
4126,太醫,81.3,101 ,8211 ,4.50 ,5.54%,0.75%,3 ,0 ,3,253 
5609,中菲行,78.7,344 ,27073 ,5.60 ,7.12%,1.50%,6 ,-1 ,7,506 
1216,統一,78.5,1,027 ,80620 ,3.00 ,3.82%,6.50%,28 ,8 ,20,2194 
6592,和潤,59.5,178 ,10591 ,3.00 ,5.04%,1.25%,7 ,0 ,7,422 
2546,根基,93.8,61 ,5722 ,4.80 ,5.12%,0.50%,2 ,0 ,2,169 
6803,崑鼎,270.5,424 ,114692 ,15.81 ,5.84%,7.50%,9 ,0 ,9,2532 
9911,櫻花,83.8,181 ,15168 ,5.00 ,5.97%,2.50%,10 ,0 ,10,844 
9930,中聯資,63.2,82 ,5182 ,4.00 ,6.33%,2.00%,11 ,8 ,3,675 
2636,台驊,68.6,131 ,8987 ,5.00 ,7.29%,1.00%,5 ,0 ,5,338 
3023,信邦,314.5,35 ,11008 ,9.10 ,2.89%,1.25%,1 ,0 ,1,422 
4104,佳醫,71.3,330 ,23529 ,4.30 ,6.03%,2.00%,9 ,-1 ,10,675 
4506,崇友,121.5,224 ,27216 ,5.30 ,4.36%,2.00%,6 ,0 ,6,675 
2453,凌群,53.1,92 ,4885 ,2.80 ,5.27%,0.50%,3 ,0 ,3,169 
3705,永信,54.7,145 ,7932 ,3.00 ,5.48%,1.00%,6 ,0 ,6,338 
1232,大統益,151.5,525 ,79538 ,7.20 ,4.75%,7.00%,16 ,-1 ,17,2363 
1231,聯華食,85.8,764 ,65551 ,1.50 ,1.75%,4.75%,19 ,1 ,18,1603 
3005,神基,114.5,595 ,68128 ,6.80 ,5.94%,3.00%,9 ,-1 ,10,1013 
1229,聯華,40.00,1179 ,47160 ,1.80 ,4.50%,2.00%,17 ,17 ,0,675 
正格,,,,,,,59.25%,198 ,31 ,167 ,20000 
,,,,,,,,,,,
股號,股票名稱,現價,持有,市值,預估股利,預估殖利率,應持有比例,每月應買股數,剩餘數,本月已買,應買金額

